,Address,City,ZIP,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
89,"845 Springfield Hwy",,37072.0,TN,36.51351,-86.888624,0.33,place,,,,,Springfield,TN,"Robertson County",37172,US,"TIGER/Line® dataset from the US Census Bureau"
90,"4066 Nolensville Pike",NASHVILLE,37211.0,TN,36.080927,-86.726665,1,range_interpolation,4066,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
91,"7848 McCrory Ln",NASHVILLE,37221.0,TN,36.088609,-87.024015,1,range_interpolation,7848,"McCrory Ln",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
92,"2118 Scott Ave",NASHVILLE,37216.0,TN,36.198035,-86.732665,1,rooftop,2118,"Scott Ave",,,Nashville,TN,"Davidson County",37216,US,"City of Nashville"
93,"6216 Robin Hill Rd",NASHVILLE,37205.0,TN,36.107006,-86.883062,1,rooftop,6216,"Robin Hill Rd",,,Nashville,TN,"Davidson County",37205,US,"City of Nashville"
94,"5308 Nolensville Pike",NASHVILLE,37211.0,TN,36.053183,-86.714744,1,range_interpolation,5308,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
95,"2109 McGavock Pike",NASHVILLE,37216.0,TN,36.213846,-86.711463,1,rooftop,2109,"McGavock Pike",,,Nashville,TN,"Davidson County",37216,US,"City of Nashville"
96,"3150 McGavock Pk",NASHVILLE,37214.0,TN,36.185548,-86.67869,1,rooftop,3150,"McGavock Pike",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
97,"1325 Quail Valley Rd",NASHVILLE,37214.0,TN,36.13633,-86.637821,1,rooftop,1325,"Quail Valley Rd",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
98,"315 Martingale Dr","OLD HICKORY",37138.0,TN,36.256758,-86.658394,0.81,nearest_rooftop_match,319,"Martingale Dr",,,"Old Hickory",TN,"Davidson County",37138,US,"City of Nashville"
99,"454 Moss Trail",GOODLETTSVILLE,37072.0,TN,36.310735,-86.7066,1,rooftop,454,"Moss Trl",,,Goodlettsville,TN,"Davidson County",37072,US,"City of Nashville"
100,"1718 Patterson St",NASHVILLE,37203.0,TN,36.157701,-86.797655,1,range_interpolation,1718,"Patterson St",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
101,"992 Davidson Dr #99",NASHVILLE,37209.0,TN,36.125653,-86.902616,1,range_interpolation,992,"Davidson Dr",Ste,99,Nashville,TN,"Davidson County",37205,US,"TIGER/Line® dataset from the US Census Bureau"
102,"854 Preston Rd",ANTIOCH,37013.0,TN,36.028367,-86.662551,1,range_interpolation,854,"Preston Rd",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
103,"3904 W Valley Dr",NASHVILLE,37211.0,TN,36.069745,-86.700717,1,range_interpolation,3904,"W Valley Dr",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
104,"401 Fesslers Ln",NASHVILLE,37210.0,TN,36.148668,-86.743619,1,rooftop,401,"Fesslers Ln",,,Nashville,TN,"Davidson County",37210,US,"City of Nashville"
105,"500 Duke Dr",,,TN,35.56369,-84.194359,0.18,place,,,,,Toqua,TN,"Monroe County",37885,US,"TIGER/Line® dataset from the US Census Bureau"
106,"350 Brewer Dr",NASHVILLE,37211.0,TN,36.054968,-86.708615,1,range_interpolation,350,"Brewer Dr",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
107,"4009 Hillsboro Pike",NASHVILLE,37215.0,TN,36.103926,-86.815571,1,range_interpolation,4009,"Hillsboro Pike",,,Nashville,TN,"Davidson County",37215,US,"TIGER/Line® dataset from the US Census Bureau"
108,"5714 Edmondson Pike",NASHVILLE,37211.0,TN,36.036847,-86.743336,1,range_interpolation,5714,"Edmondson Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
109,"225 French Landing Dr",NASHVILLE,37228.0,TN,36.195154,-86.796949,1,range_interpolation,225,"French Landing Dr",,,Nashville,TN,"Davidson County",37228,US,"TIGER/Line® dataset from the US Census Bureau"
110,"Lebanon Pike",HERMITAGE,37076.0,TN,36.199525,-86.61936,1,street_center,,"Lebanon Pike",,,Hermitage,TN,"Davidson County",37076,US,"TIGER/Line® dataset from the US Census Bureau"
111,"403 53rd Ave N",NASHVILLE,37209.0,TN,36.151919,-86.851328,1,range_interpolation,403,"53rd Ave N",,,Nashville,TN,"Davidson County",37209,US,"TIGER/Line® dataset from the US Census Bureau"
112,"129 43rd Ave N",NASHVILLE,37209.0,TN,36.139884,-86.838937,1,rooftop,129,"43rd Ave N",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
113,"2100 Dearborn Dr",NASHVILLE,37214.0,TN,36.168715,-86.702471,1,rooftop,2100,"Dearborn Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
114,"411 Gallatin Pike S",MADISON,37115.0,TN,36.258605,-86.713176,1,rooftop,411,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
115,"1613 Buchanan St",NASHVILLE,37208.0,TN,36.179911,-86.810631,1,rooftop,1613,"Buchanan St",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
116,"2714 West End Ave",NASHVILLE,37203.0,TN,36.145354,-86.812316,1,rooftop,2714,"W End Ave",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
117,"1520 Demonbreun St",NASHVILLE,37203.0,TN,36.153427,-86.78909,1,range_interpolation,1520,"Demonbreun St",,,Nashville,TN,"Davidson County",37203,US,"TIGER/Line® dataset from the US Census Bureau"
118,"2817 West End Ave",NASHVILLE,37203.0,TN,36.144523,-86.812761,1,rooftop,2817,"W End Ave",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
119,"1215 Gallatin Pike S",MADISON,37115.0,TN,36.246788,-86.720673,1,rooftop,1215,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
120,"504 Pima Rd",MADISON,37115.0,TN,36.266089,-86.720414,1,rooftop,504,"Pima Rd",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
121,"512 Battery Dr",NASHVILLE,37220.0,TN,36.088016,-86.78901,0.6,street_center,,"Battery Ln",,,Nashville,TN,"Davidson County",37220,US,"TIGER/Line® dataset from the US Census Bureau"
122,"1301 Bell Rd",ANTIOCH,37013.0,TN,36.084041,-86.65609,0.2,street_center,,"Blue Mountain Ln",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
123,"2200 Gallatin Pike N",MADISON,37115.0,TN,36.305514,-86.689209,1,rooftop,2200,"Gallatin Pike N",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
124,"21 Fern Ave",NASHVILLE,37207.0,TN,36.195662,-86.774686,1,rooftop,21,"Fern Ave",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
125,"5301 Harding Pike",NASHVILLE,37205.0,TN,36.114565,-86.86184,1,range_interpolation,5301,"Harding Pike",,,Nashville,TN,"Davidson County",37205,US,"TIGER/Line® dataset from the US Census Bureau"
126,"320 Walton Ln",MADISON,37115.0,TN,36.240027,-86.734819,1,rooftop,320,"Walton Ln",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
127,"6955 Charlotte Pike",NASHVILLE,37209.0,TN,36.129258,-86.902981,1,rooftop,6955,"Charlotte Pike",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
128,"225 Middleton St",NASHVILLE,37210.0,TN,36.15606,-86.766861,1,range_interpolation,225,"Middleton St",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
129,"1811 Church St",NASHVILLE,37203.0,TN,36.154876,-86.797584,1,range_interpolation,1811,"Church St",,,Nashville,TN,"Davidson County",37219,US,"TIGER/Line® dataset from the US Census Bureau"
130,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
131,"1719 6th Ave N",NASHVILLE,37208.0,TN,36.182662,-86.794796,1,rooftop,1719,"6th Ave N",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
132,"814 Church St",NASHVILLE,37203.0,TN,36.161899,-86.784684,1,rooftop,814,"Church St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
133,"1806 Jefferson St",NASHVILLE,37208.0,TN,36.169715,-86.807469,1,rooftop,1806,"Jefferson St",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
134,"520 McMurray Dr",NASHVILLE,37211.0,TN,36.05517,-86.723464,1,range_interpolation,520,"McMurray Dr",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
135,"1804 Natchez Trace",NASHVILLE,37212.0,TN,36.13681,-86.810958,1,rooftop,1804,"Natchez Trce",,,Nashville,TN,"Davidson County",37212,US,"City of Nashville"
136,"908 Main St",NASHVILLE,37206.0,TN,36.175738,-86.756582,1,rooftop,908,"Main St",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
137,"2807 Nolensville Pike",NASHVILLE,37211.0,TN,36.112545,-86.746259,1,range_interpolation,2807,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
138,"936 Richards Rd",ANTIOCH,37013.0,TN,36.069158,-86.681353,1,range_interpolation,936,"Richards Rd",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
139,"542 Foundry Dr",NASHVILLE,37209.0,TN,36.15797,-86.879909,1,rooftop,542,"Foundry Dr",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
140,"1524 Gallatin Ave",NASHVILLE,37206.0,TN,36.194654,-86.743711,1,rooftop,1524,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
141,"5828 Nolensville Pike",,37211.0,TN,35.925201,-86.675349,0.33,place,,,,,Nolensville,TN,"Williamson County",37135,US,"TIGER/Line® dataset from the US Census Bureau"
